Var1,Var2,Player,Position,Team,labels
-0.20712450527429047,-0.6882433990621395,Erin Ambrose,D,Olympic (Women) - Canada,2
-1.0038606451030383,-0.37867795751692346,Halli Krzyzaniak,D,Olympic (Women) - Canada,2
-1.0219579665867795,0.0001640585031643073,Savannah Harmon,D,Olympic (Women) - United States,2
-0.9366679824977543,-0.08041214885711914,Shelly Picard,D,Olympic (Women) - United States,2
-1.164336892471899,-0.21608437375878106,Katelyn Gosling,D,Olympic (Women) - Canada,2
-1.0871424948825887,-0.2486201222453827,Mich Zandee-Hart,D,Olympic (Women) - Canada,2
-1.1526426685312081,-0.23188856112240627,Jamie Bourbonnais,D,Olympic (Women) - Canada,2
-1.0117651470803197,-0.24770321441677098,Nelli Laitinen,D,Olympic (Women) - Finland,2
-1.1573878966526987,-0.21838125402051162,Ella Viitasuo,D,Olympic (Women) - Finland,2
1.2086150341112623,-0.19751737799958552,Mallory Souliotis,D,Boston Pride,1
1.998881909801209,0.02492664561831541,Sydney Baldwin,D,Minnesota Whitecaps,1
2.51702886998757,-1.692131124638094,Kaleigh Fratkin,D,Boston Pride,1
-0.48937871848768383,1.6036545082278602,Chelsey Brodt-Rosenthal,D,Minnesota Whitecaps,0
0.22373022294517933,-0.5737999807088983,Emma Stauber,D,Minnesota Whitecaps,2
-0.7754597452519846,0.10478383152256883,Winny Brodt-Brown,D,Minnesota Whitecaps,2
0.60872903318054,0.24066513353042202,Lauren Kelly,D,Boston Pride,0
-1.0825901009431858,-0.18683369493454952,Jenna Rheault,D,Boston Pride,2
-0.25075534272833794,0.6840154046962228,Paige Capistran,D,Boston Pride,0
0.7528347201012972,0.6841148860056234,Maddie Rowe,D,Minnesota Whitecaps,0
-0.8446796922514586,0.14904956542437806,Sara Bustad,D,Minnesota Whitecaps,2
-1.1574152614495758,-0.21298671417694048,Lynn Astrup,D,Minnesota Whitecaps,2
-1.1562877254419734,-0.20653713469727505,Rose Alleva,D,Minnesota Whitecaps,2
0.6424158174142767,0.19890475567038576,Tori Howran,D,Connecticut Whale,0
1.575887174580904,-0.23512969492132554,Shannon Doyle,D,Connecticut Whale,1
0.6444649815130007,0.18007587197511668,Alyson Matteau,D,Buffalo Beauts,0
0.6843285521354253,-0.34937729656723143,Marie-Jo Pelletier,D,Buffalo Beauts,1
0.3863903283802124,1.3587507767498865,Whitney Dove,D,Buffalo Beauts,0
0.26496912801309086,0.4000671500451752,Dominique Kremer,D,Buffalo Beauts,0
0.8102125735442265,0.14106624969442402,Maggie LaGue,D,Connecticut Whale,0
-0.38214352396730616,0.7713048162402436,Elena Orlando,D,Connecticut Whale,0
-0.28610136214832366,0.12532240649448728,Taylor Marchin,D,Connecticut Whale,2
-0.6375376631177444,0.6635923948550462,Megan Delay,D,Buffalo Beauts,0
0.09037564461393773,1.7083113296241026,Hanna Beattie,D,Connecticut Whale,0
-1.1127059361892864,-0.10091835380610757,Brittany Colton,D,Buffalo Beauts,2
-0.6261285036382139,0.3905304879851213,Lenka Curmova,D,Buffalo Beauts,2
-0.3169269561669768,0.7956488596481125,Emma Greco,D,Toronto Six,0
0.511921756241049,2.180047842262077,Sammy Kolowrat,D,Metropolitan Riveters,0
1.6857587789040915,-1.463247767780626,Kiira Dosdall,D,Metropolitan Riveters,1
0.6805753037452084,-1.4847552521730394,Sarah Steele,D,Toronto Six,1
0.03920722506256412,0.9574911131562122,Megan Quinn,D,Toronto Six,0
-0.41788735920423403,-1.0441770975712454,Leila Kilduff,D,Metropolitan Riveters,2
0.8808597655111294,-1.1847871947457342,Lindsay Eastwood,D,Toronto Six,1
0.4256100075906648,0.4698342069102779,Rebecca Morse,D,Metropolitan Riveters,0
-0.9295230034601659,0.16058690206778642,Allie Olnowich,D,Metropolitan Riveters,2
-0.6906031003508316,-0.4326269451656982,Kristen Barbara,D,Toronto Six,2
-0.3137157499060057,0.6022195047764562,Saroya Tinker,D,Metropolitan Riveters,0
-0.5080609617556793,0.8307440914741349,Briana Mastel,D,Boston Pride,0
-0.962763387313403,-0.08051488254984539,Laurel Hill,D,Connecticut Whale,2
-0.5342059340623443,-0.09609465947022387,Lisa Chesson,D,Buffalo Beauts,2
-1.1132182218937485,-0.06276884002736909,Rachael Ade,D,Connecticut Whale,2
