Player,Position,Team,Shot Index,PSA Index,Passing Index,Entry Index,Danger Pass Index,Danger Shot Index,Takeaways Index,Puck Recovery Index
Halli Krzyzaniak,D,Olympic (Women) - Canada,0.05957656326932545,0.01407211961301671,0.3,0.0005837711617046118,0.0008748906386701663,0.0,0.05909510618651893,0.15802373581011353
Savannah Harmon,D,Olympic (Women) - United States,0.016633399866932803,0.0,0.18846153846153846,0.0032520325203252032,0.0,0.0,0.022598870056497175,0.24952479695870053
Shelly Picard,D,Olympic (Women) - United States,0.0124750499001996,0.007785467128027681,0.3490384615384616,0.0,0.0010548523206751054,0.0051813471502590676,0.01694915254237288,0.3370917573872473
Katelyn Gosling,D,Olympic (Women) - Canada,0.0,0.0,0.0022500000000000003,0.0,0.0,0.0,0.002770083102493075,0.00348297213622291
Mich Zandee-Hart,D,Olympic (Women) - Canada,0.01846381093057607,0.0013192612137203166,0.136125,0.0035026269702276708,0.011811023622047244,0.0016891891891891893,0.0,0.0936532507739938
Jamie Bourbonnais,D,Olympic (Women) - Canada,0.0014771048744460858,0.002638522427440633,0.025,0.0,0.0026246719160104987,0.0,0.002770083102493075,0.01393188854489164
Nelli Laitinen,D,Olympic (Women) - Finland,0.0946969696969697,0.0,0.2540322580645161,0.014084507042253521,0.0,0.0125,0.00510204081632653,0.18906942392909898
Ella Viitasuo,D,Olympic (Women) - Finland,0.0,0.0,0.014400921658986175,0.0035211267605633804,0.0,0.0,0.0,0.011816838995568686
Mallory Souliotis,D,Boston Pride,0.3112462006079027,0.05120101137800253,3.9082381729200653,0.078397212543554,0.4675324675324675,0.01083276912660799,0.2857142857142857,3.052280311457175
Sydney Baldwin,D,Minnesota Whitecaps,1.1377777777777778,0.00909090909090909,5.1025590551181095,0.1520100502512563,0.01730769230769231,0.04,0.7301324503311257,4.087538619979403
Kaleigh Fratkin,D,Boston Pride,0.3939209726443769,0.2528445006321113,6.421813097180145,0.12578397212543554,0.10181818181818182,0.006093432633716993,0.1511216056670602,4.3134435086604155
Chelsey Brodt-Rosenthal,D,Minnesota Whitecaps,0.01,0.00909090909090909,0.7086614173228346,0.011306532663316583,0.04807692307692308,0.0,0.026490066225165563,1.4098867147270855
Emma Stauber,D,Minnesota Whitecaps,0.13444444444444445,0.03636363636363636,2.3818897637795273,0.0314070351758794,0.03076923076923077,0.0225,0.059602649006622516,1.6892378990731205
Winny Brodt-Brown,D,Minnesota Whitecaps,0.02777777777777778,0.00909090909090909,0.574015748031496,0.0314070351758794,0.007692307692307693,0.0,0.08112582781456953,0.5932028836251287
Lauren Kelly,D,Boston Pride,0.5361702127659574,0.0404551201011378,2.794278722908413,0.05888501742160279,0.0748051948051948,0.01083276912660799,0.21310507674144039,2.4055299539170507
Jenna Rheault,D,Boston Pride,0.011347517730496453,0.0014749262536873156,0.13064165307232192,0.007317073170731708,0.0012121212121212121,0.0015797788309636653,0.02203856749311295,0.11586948461253244
Paige Capistran,D,Boston Pride,0.07781155015197568,0.005689001264222502,1.3108832439990679,0.0031358885017421603,0.008311688311688312,0.0027081922816519976,0.03778040141676505,1.448037501986334
Maddie Rowe,D,Minnesota Whitecaps,0.11111111111111112,0.020454545454545454,2.9781496062992128,0.0314070351758794,0.09423076923076923,0.0,0.23841059602649006,2.7314624098867144
Sara Bustad,D,Minnesota Whitecaps,0.16,0.0,0.43484251968503934,0.005025125628140704,0.0019230769230769232,0.0025,0.006622516556291391,0.5213697219361483
Lynn Astrup,D,Minnesota Whitecaps,0.0044444444444444444,0.0,0.012598425196850394,0.005025125628140704,0.0019230769230769232,0.01,0.006622516556291391,0.012615859938208034
Rose Alleva,D,Minnesota Whitecaps,0.005925925925925926,0.0,0.012860892388451443,0.0,0.0,0.0,0.0,0.01682114658427738
Tori Howran,D,Connecticut Whale,0.20559610705596104,0.3436426116838488,2.8781492248062017,0.08641975308641975,0.1016949152542373,0.0,0.3414141414141414,2.425876010781671
Shannon Doyle,D,Connecticut Whale,0.3293795620437956,0.041237113402061855,4.535610465116279,0.021164021164021163,0.13559322033898305,0.002136752136752137,0.43787878787878787,3.5096585804132974
Alyson Matteau,D,Buffalo Beauts,0.2988700564971752,0.03531073446327684,2.891265114600253,0.09848484848484848,0.16765873015873015,0.01293103448275862,0.5144356955380577,2.4128662701035473
Marie-Jo Pelletier,D,Buffalo Beauts,0.203954802259887,0.11440677966101695,3.088341454611081,0.16841491841491843,0.048611111111111105,0.0,0.3779527559055118,2.3160387750605858
Whitney Dove,D,Buffalo Beauts,0.2988700564971752,0.03531073446327684,2.1959935029778017,0.21037296037296035,0.0248015873015873,0.005747126436781609,0.14763779527559054,2.4455827274730115
Dominique Kremer,D,Buffalo Beauts,0.1446327683615819,0.03531073446327684,2.22423750225591,0.21037296037296035,0.22321428571428573,0.05172413793103448,0.5518372703412074,1.977968715576118
Maggie LaGue,D,Connecticut Whale,0.4416058394160584,0.010309278350515464,3.1656976744186047,0.16005291005291006,0.07627118644067797,0.05341880341880342,0.3878787878787879,2.6199460916442048
Elena Orlando,D,Connecticut Whale,0.032846715328467155,0.002577319587628866,1.0772165697674418,0.06481481481481481,0.019067796610169493,0.0,0.07424242424242425,1.2973944294699011
Taylor Marchin,D,Connecticut Whale,0.09124087591240876,0.010309278350515464,1.3751816860465116,0.021164021164021163,0.13559322033898305,0.0,0.12272727272727273,1.2300089847259656
Megan Delay,D,Buffalo Beauts,0.11073446327683617,0.005649717514124294,0.6673885580220176,0.005244755244755245,0.003968253968253968,0.0014367816091954023,0.12860892388451442,0.9323639568186826
Hanna Beattie,D,Connecticut Whale,0.1104014598540146,0.06443298969072164,1.6397165697674418,0.13227513227513227,0.03389830508474576,0.0,0.34090909090909094,2.1572327044025155
Brittany Colton,D,Buffalo Beauts,0.014124293785310734,0.0014124293785310734,0.06099981952716116,0.05827505827505828,0.003968253968253968,0.0014367816091954023,0.016404199475065617,0.0991407799074686
Lenka Curmova,D,Buffalo Beauts,0.1271186440677966,0.005649717514124294,0.7472477892077244,0.02097902097902098,0.008928571428571428,0.022988505747126436,0.28937007874015747,0.8530513328927077
Emma Greco,D,Toronto Six,0.10946969696969697,0.007142857142857143,1.1713147410358566,0.02474747474747475,0.03165374677002584,0.003875968992248062,0.1349862258953168,1.3852459016393441
Sammy Kolowrat,D,Metropolitan Riveters,0.050200803212851405,0.003875968992248062,2.2442748091603053,0.07741935483870968,0.0036630036630036634,0.0,0.16161616161616163,2.8624946785866325
Kiira Dosdall,D,Metropolitan Riveters,0.5803212851405622,0.13953488372093023,4.969783715012722,0.17419354838709677,0.13186813186813187,0.0,0.16161616161616163,3.2967220093656877
Sarah Steele,D,Toronto Six,0.10946969696969697,0.15555555555555556,3.347277556440903,0.018181818181818177,0.06459948320413438,0.0009689922480620155,0.08333333333333333,2.0118397085610202
Megan Quinn,D,Toronto Six,0.08522727272727272,0.07936507936507936,1.7270916334661353,0.00202020202020202,0.005813953488372093,0.0,0.08333333333333333,1.899311880186197
Leila Kilduff,D,Metropolitan Riveters,0.050200803212851405,0.06201550387596899,1.427798982188295,0.01935483870967742,0.014652014652014654,0.004694835680751174,0.5681818181818182,0.6811409110259685
Lindsay Eastwood,D,Toronto Six,0.4909090909090909,0.17857142857142855,3.570901578869706,0.08535353535353533,0.10917312661498707,0.003875968992248062,0.19903581267217632,2.337988261485529
Rebecca Morse,D,Metropolitan Riveters,0.7248995983935742,0.24806201550387597,2.407442748091603,0.1053763440860215,0.0036630036630036634,0.16901408450704225,0.42676767676767674,2.206896551724138
Allie Olnowich,D,Metropolitan Riveters,0.20080321285140562,0.003875968992248062,0.2862595419847328,0.008602150537634409,0.0036630036630036634,0.004694835680751174,0.06313131313131314,0.40911025968497233
Kristen Barbara,D,Toronto Six,0.02784090909090909,0.01904761904761905,0.8376494023904383,0.012121212121212121,0.00872093023255814,0.005813953488372093,0.08367768595041322,0.546448087431694
Saroya Tinker,D,Metropolitan Riveters,0.09839357429718876,0.015503875968992248,1.22264631043257,0.07741935483870968,0.014652014652014654,0.0,0.06313131313131314,1.335036185610898
Briana Mastel,D,Boston Pride,0.07191489361702127,0.01415929203539823,0.8486133768352365,0.012195121951219513,0.006545454545454546,0.0009478672985781991,0.02975206611570248,1.157285873192436
Laurel Hill,D,Connecticut Whale,0.016423357664233577,0.0,0.30559593023255816,0.0,0.0,0.0,0.012121212121212121,0.3036837376460018
Lisa Chesson,D,Buffalo Beauts,0.09152542372881356,0.002824858757062147,1.0151597184623713,0.01048951048951049,0.017857142857142856,0.07183908045977012,0.08398950131233596,0.8468825732540206
Rachael Ade,D,Connecticut Whale,0.058394160583941604,0.0,0.046511627906976744,0.047619047619047616,0.00847457627118644,0.03418803418803419,0.024242424242424242,0.10871518418688231
